"Name","Category","Price","Currency","Description","Available"
"Chicken Breast Boneless","Meat - Chicken",7.99,"CAD","Per lbs","1"
"Chicken Drumstick As Is","Meat - Chicken",2.99,"CAD","Per lbs","1"
"Chicken Kima Frozen (2 Lbs)","Meat - Chicken",13.99,"CAD","Per Lb $6.49","1"
"Chicken Leg Quarter As Is","Meat - Chicken",2.75,"CAD","Per lbs","1"
"Chicken Leg Quarter Skin Off & Cut","Meat - Chicken",2.99,"CAD","Per lbs","1"
"Chicken Thigh Boneless","Meat - Chicken",5.99,"CAD","Per lbs","1"
"Chicken Whole As Is","Meat - Chicken",12.99,"CAD","3-3.50 Lbs","1"
"Chicken Whole Skin Off & Cut","Meat - Chicken",13.99,"CAD","3-3.50 Lbs","1"
"Chicken Wings (2 Lbs.)","Meat - Chicken",11.99,"CAD","Each lbs $4.99","1"
"Halal Duck Burn","Meat - Chicken",37.99,"CAD","Each","1"
"Small Hard Chicken 1.5-2 Lbs","Meat - Chicken",6.99,"CAD","Each","1"
"Beef Boneless Pasanda","Meat -Beef",7.49,"CAD","Per lbs","1"
"Beef Boneless Stew","Meat -Beef",7.25,"CAD","Per lbs","1"
"Beef Feet (Paya) Frozen","Meat -Beef",15.99,"CAD","Minimam 4Lbs","1"
"Beef Nihari Shank With Bone 4Lbs","Meat -Beef",23.96,"CAD","Per Lbs $5.99","1"
"Beef T-Bone 2Lbs","Meat -Beef",15.99,"CAD","Per Lbs $7.27","1"
"Beef With Bone (Mix)","Meat -Beef",5.49,"CAD","Get a Special Rate for 10 lb Only 49.99 CAD","1"
"Ground Beef Ex.Lean","Meat -Beef",7.49,"CAD","Per lbs","1"
"Ground Beef Lean","Meat -Beef",5.99,"CAD","Per lbs","1"
"Ground Beef Mediam","Meat -Beef",5.99,"CAD","Per lbs","1"
"Goat Chops","Meat-Lamb/Goat",12.99,"CAD","Per Lb","1"
"Goat Leg Per Lb $12.99","Meat-Lamb/Goat",84.99,"CAD","Average 6.5 Lbs","1"
"Goat Shoulder & Ribs (average 3 lbs)","Meat-Lamb/Goat",32.99,"CAD","Average 3 lbs ($10.99 Per lbs)","1"
"Goat/Lamb Feet(Frozen) Per Lb $5.99","Meat-Lamb/Goat",14.99,"CAD","Average 2.5 Lbs","0"
"Goat/Lamb Stomach Lb $5.99","Meat-Lamb/Goat",14.99,"CAD","Minimum 2.5 Lbs","0"
"Lamb Chops","Meat-Lamb/Goat",12.99,"CAD","Per Lb","1"
"Lamb Leg","Meat-Lamb/Goat",90.99,"CAD","Average 6.5 Lbs","1"
"Lamb Shoulder & Rib  per lb $12.99","Meat-Lamb/Goat",38.99,"CAD","Average 3 lbs","1"
"Allegro Sunflower Oil","Oil and Ghee",9.99,"CAD","1 Liter","0"
"Amla Hair Oil","Oil and Ghee",7.99,"CAD","275ml","1"
"Aseel Ghee (1kg)","Oil and Ghee",9.99,"CAD","1kg","1"
"Aseel Ghee (500gm)","Oil and Ghee",6.99,"CAD","500gm","1"
"Banoful Mustard Oil","Oil and Ghee",10.99,"CAD","1 Liter","1"
"Banoful Mustard Oil","Oil and Ghee",3.99,"CAD","250ml","1"
"Banoful Mustard Oil (500ml)","Oil and Ghee",5.99,"CAD","500ml","1"
"Black seed oil 100ml","Oil and Ghee",13.99,"CAD",NA,"1"
"Clic Canola Oil 946 ml","Oil and Ghee",9.99,"CAD","946ml","0"
"Clic Corn Oil","Oil and Ghee",9.99,"CAD","946ml","0"
"Dabur Amla Hair Oil","Oil and Ghee",7.99,"CAD","275ml","1"
"Desi Almond Oil","Oil and Ghee",8.99,"CAD","250ml","1"
"Desi Castor Oil","Oil and Ghee",3.99,"CAD","150ml","0"
"Desi Coconut Oil","Oil and Ghee",9.99,"CAD","750ml","1"
"Desi Sesami Oil","Oil and Ghee",7.99,"CAD","250ml","1"
"Handi Sesame Seed Oil","Oil and Ghee",6.99,"CAD","110ml","1"
