"single_product_name","single_product_category","single_product_price","single_product_currency","single_product_discription","single_product_availability"
"Ground Beef Mediam","Meat -Beef","5.99","CAD","Per lbs","yes"
"Ox Tail","Meat -Beef",NA,NA,"In Store Only ( Till Supplies Last)","yes"
"Goat Chops","Meat-Lamb/Goat","12.99","CAD","Per Lb","yes"
"Goat Leg Per Lb $12.99","Meat-Lamb/Goat","84.99","CAD","Average 6.5 Lbs","yes"
"Goat Shoulder & Ribs (average 3 lbs)","Meat-Lamb/Goat","32.99","CAD","Average 3 lbs ($10.99 Per lbs)","yes"
"Goat/Lamb Feet(Frozen) Per Lb $5.99","Meat-Lamb/Goat","14.99","CAD","Average 2.5 Lbs","no"
"Goat/Lamb Stomach Lb $5.99","Meat-Lamb/Goat","14.99","CAD","Minimum 2.5 Lbs","no"
"Lamb Chops","Meat-Lamb/Goat","12.99","CAD","Per Lb","yes"
"Lamb Leg","Meat-Lamb/Goat","90.99","CAD","Average 6.5 Lbs","yes"
"Lamb Shoulder & Rib  per lb $12.99","Meat-Lamb/Goat","38.99","CAD","Average 3 lbs","yes"
"Allegro Sunflower Oil","Oil and Ghee","9.99","CAD","1 Liter","no"
"Amla Hair Oil","Oil and Ghee","7.99","CAD","275ml","yes"
"Aseel Ghee (1kg)","Oil and Ghee","9.99","CAD","1kg","yes"
"Aseel Ghee (500gm)","Oil and Ghee","6.99","CAD","500gm","yes"
"Banoful Mustard Oil","Oil and Ghee","10.99","CAD","1 Liter","yes"
"Banoful Mustard Oil","Oil and Ghee","3.99","CAD","250ml","yes"
"Banoful Mustard Oil (500ml)","Oil and Ghee","5.99","CAD","500ml","yes"
"Black seed oil 100ml","Oil and Ghee","13.99","CAD",NA,"yes"
"Clic Canola Oil 946 ml","Oil and Ghee","9.99","CAD","946ml","no"
"Clic Corn Oil","Oil and Ghee","9.99","CAD","946ml","no"
"Dabur Amla Hair Oil","Oil and Ghee","7.99","CAD","275ml","yes"
"Desi Almond Oil","Oil and Ghee","8.99","CAD","250ml","yes"
"Desi Castor Oil","Oil and Ghee","3.99","CAD","150ml","no"
"Desi Coconut Oil","Oil and Ghee","9.99","CAD","750ml","yes"
"Desi Sesami Oil","Oil and Ghee","7.99","CAD","250ml","yes"
"Handi Sesame Seed Oil","Oil and Ghee","6.99","CAD","110ml","yes"
"Jui Coconut Oil","Oil and Ghee","7.99","CAD","350ml","yes"
"Kissan Desi Ghee","Oil and Ghee","26.99","CAD","908gm","yes"
"Parachute Coconut Oil","Oil and Ghee","14.99","CAD","1 Liter","yes"
"Premium Ghee","Oil and Ghee","19.99","CAD","325gm","yes"
"Pure Coconut Oil","Oil and Ghee","8.99","CAD","500ml","yes"
"Pure Coconut Oil","Oil and Ghee","3.99","CAD","200ml","yes"
"Sesami Oil","Oil and Ghee","8.99","CAD","250ml","yes"
"Teer Mustard Oil","Oil and Ghee","5.99","CAD","500ml","no"
"Vegetable Oil","Oil and Ghee","13.99","CAD","3 Liters","no"
"Radhuni Beef Masala","Radhuni Spices","2.49","CAD","100gm","yes"
"Radhuni Biryani Masala","Radhuni Spices","2.49","CAD","35gm","yes"
"Radhuni Borhani","Radhuni Spices","2.49","CAD","50gm","yes"
"Radhuni Chotpoti Masala","Radhuni Spices","2.49","CAD","50gm","yes"
"Radhuni Cumin Powder","Radhuni Spices","7.99","CAD","400gm","no"
"Radhuni Cumin Powder","Radhuni Spices","3.99","CAD","200gm","no"
"Radhuni Fish Masala","Radhuni Spices","2.49","CAD","100gm","yes"
"Radhuni Garam Masala","Radhuni Spices","3.99","CAD","100gm","yes"
"Radhuni Hyderabadi Biryani","Radhuni Spices","2.49","CAD","45gm","yes"
"Radhuni Kacchi Biryani","Radhuni Spices","2.49","CAD","40gm","yes"
"Radhuni Kala Bhuni","Radhuni Spices","2.49","CAD","80gm","no"
"Radhuni Meat Masala","Radhuni Spices","2.49","CAD","100gm","yes"
"Radhuni Mezbani Masala","Radhuni Spices","2.49","CAD","68gm","yes"
"Radhuni Rezala Masala","Radhuni Spices","2.49","CAD","35gm","yes"
